NAME,TEXT,ROLE,SENTIMENT
<Pierre-Soutien-Harceleur>,ça lui fera de l'argent pour une fois qu'elle en aura,bully_support,NEG
<Fatima-Victime>,bande de jaloux,victim,NEG
<Nicolas-Soutien-Harceleur>,tu montre ton cu tassume,bully_support,NEG
<Teresa-Soutien-Victime>,bh elle va aller porter plainte,victim_support,NEU
<Fatima-Victime>,tkt jai pas besoin de ton argent,victim,NEG
<Pierre-Soutien-Harceleur>,c'est pas dans son pays qu'elle en aura :') :'),bully_support,NEG
<Pauline-Harceleur>,c dieu qui donne mon bebew,bully,NEU
<Pierre-Soutien-Harceleur>,elle ira pas porter plainte,bully_support,NEG
<Fatima-Victime>,cmt tu sais ?,victim,NEU
<Nicolas-Soutien-Harceleur>,ben va porter plainte,bully_support,NEG
<Teresa-Soutien-Victime>,exactement,victim_support,NEU
<Nicolas-Soutien-Harceleur>,on verra a la sorti,bully_support,NEG
<Teresa-Soutien-Victime>,mdr,victim_support,NEU
<Nicolas-Soutien-Harceleur>,kestu crois,bully_support,NEU
<Teresa-Soutien-Victime>,lol,victim_support,NEU
<Pierre-Soutien-Harceleur>,tkt je l'attendrais devant chez elle,bully_support,NEG
<Teresa-Soutien-Victime>,tu vas faire quoi,victim_support,NEU
<Théo-Conciliateur>,y aura rien a la sorti,conciliator,NEU
<Pierre-Soutien-Harceleur>,je vais bien continuier avce pauline pour diffuser,bully_support,NEG
<Nicolas-Soutien-Harceleur>,interogatoir 2 heures et glaces a la plages apres,bully_support,NEG
<Fatima-Victime>,ils saven que parlé,victim,NEU
<Pauline-Harceleur>,theo on va te meler aussi,bully,NEG
<Pierre-Soutien-Harceleur>,on va venir à plusieurs,bully_support,NEG
<Fatima-Victime>,derrière leur ecran la,victim,NEU
<Nicolas-Soutien-Harceleur>,et ta guele part terre ensuite,bully_support,NEG
<Teresa-Soutien-Victime>,tkktt on t'attendra a 2 on te ntm,victim_support,NEG
<Pierre-Soutien-Harceleur>,tkt pas en face je vais te montrer mon petit bijoux,bully_support,NEG
<Pauline-Harceleur>,tu nique personne,bully,NEG
<Teresa-Soutien-Victime>,tu crois on a peur de toi t degun redesend,victim_support,NEG
<Pauline-Harceleur>,mere teresa tg,bully,NEG
<Pierre-Soutien-Harceleur>,avec d'autres qui n'aiment pas les arabes comme toi,bully_support,NEG
<Nicolas-Soutien-Harceleur>,tu nike ta mere plutot et encore,bully_support,NEG
<Fatima-Victime>,il est tlmt ptit qu on verra rien tkt terasa,victim,NEG
<Nicolas-Soutien-Harceleur>,si quelqu un te veux,bully_support,NEG
<Théo-Conciliateur>,bon euh vs avez fini de parler pour rien ?,conciliator,POS
<Pierre-Soutien-Harceleur>,ooooh theresa tu me chauffes tu veux le meme sort?,bully_support,NEG
<Nicolas-Soutien-Harceleur>,ta 12 ans tu fait la grande ta pote et a pooile sur la plage et se plaint apres,bully_support,NEG
<Pierre-Soutien-Harceleur>,theo arrete de defendre vrm on dirait que t'es pas francais,bully_support,NEG
<Pauline-Harceleur>,appelez carla elle va faire la sorcellerie jai des contacts,bully,NEU
<Fatima-Victime>,mai a poil de koi,victim,NEU
<Teresa-Soutien-Victime>,mais oui il fait le beau parceque t'es une gadjis mais devant un mec il ferra rien,victim_support,NEG
<Pauline-Harceleur>,tg toi,bully,NEG
<Fatima-Victime>,la pauline on voyait son cul et elle vient m harceler apres la,victim,NEG
<Nicolas-Soutien-Harceleur>,apel plutot anaé,bully_support,NEU
<Pauline-Harceleur>,j'en ai un moi au moins,bully,NEG
<Pierre-Soutien-Harceleur>,en attendant elle elle avait le droit,bully_support,NEG
<Nicolas-Soutien-Harceleur>,ily aura que elle qui va te repondre mdr,bully_support,NEU
<Teresa-Soutien-Victime>,oe ta raison c la plus grosse des pute,victim_support,NEG
<Pierre-Soutien-Harceleur>,parce qu'elle elle est dans son pays,bully_support,NEG
<Teresa-Soutien-Victime>,hein pauline,victim_support,NEG
<Pauline-Harceleur>,teresa ftg va a l'eglise,bully,NEG
<Fatima-Victime>,ba va y on y va ensemble,victim,NEU
<Pierre-Soutien-Harceleur>,ça t'éduqueras un peu,bully_support,NEG
<Teresa-Soutien-Victime>,tu devrais faire pareil,victim_support,NEU
<Fatima-Victime>,j sui sur t es jamais allé a leglise hypocrite,victim,NEG
<Nicolas-Soutien-Harceleur>,on te brule toi a leglise,bully_support,NEG
<Théo-Conciliateur>,"mais vs en avez pas marre, vs voulez pas vs re parler et mettre les choses a plat ?",conciliator,POS
<Teresa-Soutien-Victime>,oe grave tu parles,victim_support,NEG
<Pauline-Harceleur>,theo tu sers a rien,bully,NEG
<Pierre-Soutien-Harceleur>,fatima arrete la mascarade on sait que toi t'es un autre delire toi tu fais la manche devant frr,bully_support,NEG
<Fatima-Victime>,j prefere faire la manche que la pute comme ta mere,victim,NEG
<Teresa-Soutien-Victime>,c a eux d'arreter d'harceler les gens,victim_support,NEU
<Théo-Conciliateur>,si je sert a regler vos problemes de merde,conciliator,NEU
