NAME,TEXT,ROLE,SENTIMENT
leo77,façon j'veux ps d'une crasseuse comme toi,bully_support,NEG
Paul72,Claire c'est pas le mot,bully_support,NEU
@FatimahVictime,Je voudrais qu'on arrête de se moquer de moi et ma culture,victim,POS
@FatimahVictime,Salut Julie c'est avec toi que je voulais parler,victim,NEU
julie20,la vie t'es fat ima,bully,NEG
coralie,bizzarement ils insultent moins la,victim_support,NEU
@FatimahVictime,arrête tes commentaires et de m'insulter dans mon dos tu crois que j'ai pas vu ton petit jeu... Et tes insinuations...,victim,NEG
leo77,c'est une clocharde en meme temps,bully_support,NEG
@FatimahVictime,S'il te paît arrête.,victim,POS
coralie,ils ont meme pas d'interet a t'insulter,victim_support,NEU
julie20,c pas dans ton dos chuis en face,bully,NEU
leo77,bah on va voir en vrai si on va rien faire,bully_support,NEG
coralie,mais regarde les ils peuvent que insulter vous pouvez argumenter ?,victim_support,NEU
@FatimahVictime,FAT IMA .. tu as un humour incroyable !,victim,NEG
julie20,oe je sais,bully,NEU
@FatimahVictime,"La dernière fois qu'on m'a fait cette blague, j'étais en maternelle.",victim,NEG
coralie,c'est clair,victim_support,NEU
leo77,bon tg tu parles trop,bully_support,NEG
@FatimahVictime,Leo..,victim,NEU
julie20,tu casse les couilles,bully,NEG
@FatimahVictime,Tu n'as rien à faire ici..,victim,NEG
Paul72,manges du couscous,bully_support,NEG
@FatimahVictime,C'est entre moi et julie !,victim,NEU
leo77,on va te faire manger du saucisson,bully_support,NEG
coralie,enfaite les gars vous savez pas harceler,victim_support,NEG
julie20,trahisonnnnnnnnn,bully,NEU
coralie,vous etees des breles,victim_support,NEG
@FatimahVictime,Ils sont nuls !,victim,NEG
coralie,grave,victim_support,NEU
@FatimahVictime,mdr,victim,NEU
leo77,coralie ferme ta gueule toi aussi t'es une petasse,bully_support,NEG
julie20,t'es Fatigué,bully,NEG
Paul72,ah parce que c'est un job maintenant,bully_support,NEU
@FatimahVictime,Bon Julie,victim,NEU
coralie,octogone quand tu veux leo77,victim_support,NEG
@FatimahVictime,tu peux me promettre que tu vas arrêter ?,victim,POS
coralie,avec ton corps tout frele,victim_support,NEG
leo77,coralie et fatimah c'est des salopes,bully_support,NEG
@FatimahVictime,ce sont *,victim,NEU
julie20,mais oui mv,bully,NEG
leo77,m'en branle,bully_support,NEG
coralie,leo77 n'a pas d'arguments,victim_support,NEU
@FatimahVictime,quand on parle bien français!!,victim,NEG
julie20,tg rentre chez toi,bully,NEG
@FatimahVictime,... je suis française donc je suis chez moi,victim,NEU
coralie,leo77 il sais pas insulter et il sais pas parler francais,victim_support,NEG
julie20,t'es sans papiers on le sais,bully,NEG
@FatimahVictime,tu veux les voir julie ?,victim,NEU
leo77,fatimah pas très francais,bully_support,NEG
Paul72,La géographie c'est pas ton fort,bully_support,NEG
julie20,tu peux pas les monter,bully,NEU
coralie,le niveau de vos blagues est eclaté les gars faite un effort,victim_support,NEG
leo77,"fatimah son vagin il sens le cochon,",bully_support,NEG
Paul72,retourne te faire enculer par un singe,bully_support,NEG
julie20,tu sais nager fat ?,bully,NEG
@FatimahVictime,C'est pas toi qui vas le sentir Leo !,victim,NEU
leo77,"tkt y a des photos qui tournent , pas très rasé tout ca",bully_support,NEG
Paul72,you born fat,bully_support,NEG
coralie,t'en a jamais vu en vrai donc ta de la chance,victim_support,NEG
@FatimahVictime,"Si tu fais ça, ... tu sais que je peux porter plainte?",victim,POS
leo77,j'ai vu le cul de ta soeur,bully_support,NEG
coralie,t'en a pas vu non plus,victim_support,NEU
julie20,ça va etre fait tkt,bully,NEG
leo77,porte plainte grosse folle sa va te meler,bully_support,NEG
coralie,ta jamais toucher personne,victim_support,NEG
@FatimahVictime,"Et Leo, je vois pas comment tu pourrais avoir ce genre de photo..",victim,NEU
coralie,leo77,victim_support,NEU
leo77,tout le monde a vu ton cul,bully_support,NEG
coralie,bolosse,victim_support,NEG
leo77,en plus ta meme pas de forme mskn,bully_support,NEG
Paul72,tu as pu venir en france donc tout est possible,bully_support,NEG
coralie,avec ton 2cm tu peut pas parler,victim_support,NEG
julie20,ça surcule avec tous les mecs qui ton dé glingué,bully,NEG
@FatimahVictime,"Leo et Paul, on vous a pas causé .",victim,NEG
coralie,leo77,victim_support,NEU
Paul72,sinon il recherche un acteur pour le prochain kirikou,bully_support,NEG
leo77,fatimah on va t'enfoncer ton voile dans le cul,bully_support,NEG
@FatimahVictime,"Julie, tu as peur de moi ou quoi ? T'es moche Julie...",victim,NEG
julie20,mais tg toi on est Fat igué,bully,NEG
