NAME,TEXT,ROLE,SENTIMENT
Pierre47,wsh wsh canne a peche,victim_support,NEU
Pierre47,ça smart ?,victim_support,NEU
Coralie,bonjù,victim_support,NEU
julie,salutttt,bully,NEU
Fatimah-victime,Hey !,victim,NEU
Pierre47,Mademoiselle vous m'avais l'air très charmante moyen d'avoir un 06 petite Coralie,victim_support,NEU
Leo68,bahahah tu veux le num d'une immigrée ?,bully_support,NEG
julie,j'avoue mdr,bully,NEU
Leo68,bahaha faut l'envoyer dans l'avion oe avec sa boue sur les doigts là,bully_support,NEG
Pierre47,wow ça c'est limite fréro calme le jeux,victim_support,NEU
julie,nan chuis d'accord avec lui,bully,NEU
Pierre47,sinon je devrais t'envoyer te délecter de t'es ancetres,victim_support,NEG
Leo68,faut être honnête dans la vie mon reuf,bully_support,NEU
Coralie,wow calmez vous,victim_support,NEU
Leo68,ouuuh mais c'est que on protège la petite immigrée,bully_support,NEG
Leo68,on se calme pas ici personne veut d'elle frr,bully_support,NEG
Fatimah-victime,C'est quoi ces commentaires raciste la ?? vous etes serieux ?,victim,NEG
Pierre47,pas gentil,victim_support,NEG
Coralie,pk vous dites des trucs racistes,victim_support,NEG
Pierre47,calme toi Leo,victim_support,NEU
Leo68,"toi la djiadiste on t,as pas parlé donc ta geule",bully_support,NEG
Leo68,avec tes doigts sale là,bully_support,NEG
kate93,vous etes tous des merdes,bully,NEG
julie,j'avoue qu'elle retourne dans son pays qu'elle nous fasse pas chier,bully,NEG
Pierre47,elle vas faire pt t'es mort tu vas voir remake des tours jumelles dans ton bat,victim_support,NEG
Fatimah-victime,"aller c'est partie, pour toi tous les musulman sont des djiadiste ? le niveau quoi",victim,NEG
Sandrine12,Oh calme toi la,conciliator,NEU
Leo68,grave mdrr elle est tellement sale que même les algériens ils veulent pas d'elle,bully_support,NEG
julie,et fatimah arrete de trainer avec les gars qu'est qui trouve de beau chez toi serieux,bully,NEG
Leo68,bah oui t'es une bombe à retardement :'),bully_support,NEG
Fatimah-victime,julie tu est juste jalouse ! tu pas mieux a faire dans ta vie ?,victim,POS
Pierre47,tg c'est toi qui pue leo tu joue a lol frère me parle pas de douche,victim_support,NEG
Leo68,j'avoue elle est cheum,bully_support,NEG
Sandrine12,leo taimerai quon parle de ta mere comme sa,conciliator,NEU
julie,nan mais fatimah t juste une conne et une voleuse de petits amis,bully,NEG
paul83,julie elle est pas jalouse frr tu met de la merde sur t doit tu crois elle vas te jalousé,bully_support,NEG
julie,tout le monde le sais,bully,POS
Leo68,j'aimerai que tu la fermes,bully_support,NEG
Pierre47,ta la coupe a Many dans l'age de glace parle pas,victim_support,NEG
Fatimah-victime,Leo68 c'est un compliment MDR ?,victim,NEU
Pierre47,étouffe toi avec mes boules Leo68,victim_support,NEG
kate93,oh fermez vos gueule bande de fdp vous parlez trop,bully,NEG
Leo68,tg pierre,bully_support,NEG
kate93,pour rien dire,bully,POS
Sandrine12,vous aimez les fraises ?,conciliator,NEU
paul83,tes parent immigres la retourne dans ton pays,bully_support,NEG
Leo68,va te faire exploser avec ton gros porc et casse toi,bully_support,NEG
Pierre47,kate93 vas te sucider,victim_support,NEG
Leo68,grv mdrr paul il a trop raison,bully_support,NEG
Coralie,Oe c super bon les fraises Sandrine12,victim_support,POS
Fatimah-victime,C'est surtoutvous kate93 et julie !! cous etes des rasiste j'ai vue la conv sur Watsapp,victim,NEG
kate93,comment ca va te sucider tu veux jte ntm ou quoi,bully,NEG
Fatimah-victime,pourquoi tu fait ça ? tu veut quoi ?,victim,NEU
julie,et toi pk tu voles les petits amis et tu fais chier tout le monde,bully,NEG
Pierre47,Leo68 kate93 je pisse sur vos daronnes elle a rien fait fatimah,victim_support,NEG
paul83,pierre et coralie art de sucer,bully_support,NEG
Pierre47,</3,victim_support,NEU
Leo68,nan elles sont honnête frr  puis tg arrête de parler une langue qui ne vient pas de ton pays d'immigrés fatima la sale,bully_support,NEG
julie,tu comprends pas que personne veux de toiiii,bully,NEG
kate93,pourquoi tu t'appelle fatimah la honte quoi,bully,NEG
Coralie,arretez les propos racistes ça sert à rien,victim_support,NEU
Leo68,fatima la grosse rat,bully_support,NEG
Fatimah-victime,Je ne vois pas en quoi je vole amis ?? je suis comme tous le monde j'ai le droit de faire ce que je veut ?? Si tu en as pas c'est ton soucis pas le mien,victim,NEU
kate93,fatimah la grosse pute,bully,NEG
Sandrine12,vous voulez pas quon organise une sortit pour vous calmer,conciliator,NEU
Pierre47,je suis obliger de pepon ton père car ta salope de mère est pas capable de le faire paul83,victim_support,NEG
julie,nana mais fatimah t laide tu plaies a personne,bully,NEG
Leo68,mais arrête de toucher les mecs avec tes doigts crades wsh,bully_support,NEG
Fatimah-victime,"ça te pose un soucis, par ce que Kate c'est mieux peut etre ? fatimah c'est trés jolie et je suis fiere de porté ce prénom",victim,NEU
Pierre47,ftg julie retourne en schimio,victim_support,NEG
kate93,bah kate c'est deja plus francais quoi ptdrrr,bully,NEG
Leo68,pierre va avec ton immigré et tais toi bnande de crades,bully_support,NEG
Fatimah-victime,julie Pourquoi tu as si peut alors ?,victim,NEU
Coralie,ça va tu va bien paul83,victim_support,NEU
paul83,bsahtek on ta pas demander si t'etait fier de porter ton prenom ont s'en blc,bully_support,NEG
Fatimah-victime,julie Pourquoi tu as si peure alors ?,victim,NEU
Leo68,grvvv mdr tg l'immigré,bully_support,NEG
Pierre47,go back to the kicthen kate83,victim_support,NEG
julie,vraiment fatimah tu casses les couilles a tout  le monde,bully,NEG
Coralie,non,victim_support,NEG
Leo68,retourne manger du cochon,bully_support,NEG
Sandrine12,fatimah ils sont beaux tes doigts jadore,conciliator,POS
julie,comment des gens peuvent te defendre,bully,POS
Coralie,me too,victim_support,POS
Fatimah-victime,paul83 arrete d'etre le chienchien de Kate et Julie et réfléchie par toi meme un peu,victim,NEG
paul83,sandrine suceuse,bully_support,NEG
Leo68,ptdrr pierre est sexiste mais il nous traite de rasciste,bully_support,NEG
Pierre47,mais tg toi,victim_support,NEG
Sandrine12,paul comment tu peux me dire sa,conciliator,NEU
kate93,bah nan paul je laime trop,bully,NEG
Leo68,grv paul elle aime en manger hein,bully_support,POS
Fatimah-victime,julie Les gens logique ! ceux qui ne sont pas rasiste et qui ne vivent pas dans des peures inventé,victim,NEU
kate93,oue jadore manger paul,bully,POS
Pierre47,(y)  tu vois je met mon pouce dans ton cul Leo68,victim_support,NEG
paul83,paul c un prenom sale chien pk tu dit elle aime en manger,bully_support,POS
Sandrine12,D:,conciliator,NEU
Pauline,-_-,conciliator,NEU
Leo68,fatimah va bouffer du cochon avec tes doigts remplie de caca,bully_support,NEG
julie,c'est pas des gens logique c'est juste des gens qui ont pitié de toi,bully,NEG
kate93,tu nous fauis de la peine,bully,NEG
Leo68,faute de frappe mon reuf,bully_support,NEU
Fatimah-victime,Ah oui le niveau ! tu as jamais vue de l'henné de ta vie ou quoi ?,victim,NEU
paul83,Fatimah tgl stp,bully_support,NEG
Pierre47,j'ai baisé la mère de la soeur de vos cousine kate93 julie Leo68 \O/  chien tete en haut,victim_support,NEG
Leo68,pierre chui pas gay donc garde ton doigts pour toi,bully_support,NEG
paul83,c pas du henne c de la merde sale chienne sale arabe,bully_support,NEG
kate93,et moi jbz ta grand mere la pute,bully,NEG
Leo68,oeeee paul il a tarpin raison,bully_support,NEG
julie,t'a pas trouvé mieux pierre,bully,NEG
