NAME,TEXT,ROLE,SENTIMENT
<Ellian-Harceleur>,ooooow gros FDB je vais te niker tout tes mort wallah grosse suceuse de bite que tu suce . je te revoi a la lib je te descent avec un gros calibre sa mere,bully,NEG
<Arthur-Soutien-Harceleur>,sale trdc perdu,bully_support,NEG
<Nicola-Soutien-Harceleur>,vazi je viens avec toi on va le défoncer,bully_support,NEG
<Ellian-Harceleur>,repond fatiquer grosse tapette quer tes je te souleve grosse kehba,bully,NEG
<Arthur-Soutien-Harceleur>,vazy on va lui faire sucer des grosses bites vu quil aime  faire sa,bully_support,NEG
<Ellian-Harceleur>,comme ta daronne la tchwin zebi tu me degoute gros crasseux que t va bouffer tes grosse bite,bully,NEG
<Paul-Victime>,"vous êtes degueu,  tout le monde a le droit de faire  sa life",victim,NEG
<Arthur-Soutien-Harceleur>,tg toi,bully_support,NEG
<Paul-Victime>,ftg toi même,victim,NEG
<Nicola-Soutien-Harceleur>,franchement tu devrais aller voire un médecin,bully_support,NEG
<Ellian-Harceleur>,wallah tg keske tu ouvre ta bouche de suceuse,bully,NEG
<Paul-Victime>,"et toi le psy,  pas supporter les autres c'est un problème dans ta tête",victim,NEG
<Nicola-Soutien-Harceleur>,c pas normale ton truc fdp,bully_support,NEG
<Paul-Victime>,et toi ta grande g,victim,NEG
<Arthur-Soutien-Harceleur>,vasy tg jvai te faire manger le sol,bully_support,NEG
<Paul-Victime>,c quoi normal  tringler toutes les meufs ?,victim,NEU
<Nicola-Soutien-Harceleur>,vasi vvien a la lib on va voire,bully_support,NEG
<Ellian-Harceleur>,va la ba vien on ce mange un tete,bully,NEG
<Paul-Victime>,tg  gros  ouf,victim,NEG
<Ellian-Harceleur>,wallah vien la lib grosse tapette,bully,NEG
<Paul-Victime>,et petit con,victim,NEG
<Nicola-Soutien-Harceleur>,on lui faire sucer des bite,bully_support,NEG
<Ellian-Harceleur>,gros ouf il ma dit et va niker tes mort aussi,bully,NEG
<Nicola-Soutien-Harceleur>,c un ouf lui on va le def,bully_support,NEG
